iter	Passed	Remaining
434	1743	2264
435	1746	2258
436	1748	2252
437	1750	2246
438	1753	2240
439	1758	2237
440	1760	2231
441	1763	2225
442	1765	2219
443	1767	2213
444	1771	2209
445	1775	2205
446	1784	2207
447	1785	2199
448	1789	2195
449	1791	2189
450	1796	2186
451	1800	2183
452	1805	2179
453	1806	2173
454	1808	2166
455	1809	2159
456	1811	2152
457	1814	2146
458	1815	2139
459	1816	2132
460	1820	2128
461	1821	2121
462	1823	2114
463	1825	2108
464	1826	2101
465	1827	2094
466	1829	2087
467	1830	2080
468	1832	2075
469	1835	2069
470	1836	2062
471	1838	2056
472	1840	2050
473	1841	2043
474	1843	2037
475	1846	2032
476	1847	2025
477	1854	2025
478	1856	2019
479	1857	2012
480	1859	2006
481	1863	2002
482	1865	1997
483	1868	1991
484	1869	1985
485	1871	1979
486	1873	1973
487	1876	1968
488	1878	1962
489	1884	1961
490	1885	1954
491	1886	1948
492	1887	1941
493	1891	1937
494	1894	1932
495	1896	1926
496	1898	1921
497	1899	1914
498	1901	1909
499	1903	1903
500	1905	1897
501	1906	1891
502	1910	1887
503	1912	1881
504	1913	1875
505	1915	1869
506	1921	1868
507	1925	1864
508	1928	1860
509	1929	1854
510	1932	1849
511	1934	1844
512	1937	1839
513	1940	1834
514	1941	1828
515	1943	1822
516	1944	1816
517	1946	1811
518	1954	1811
519	1958	1808
520	1961	1803
521	1964	1798
522	1965	1792
523	1967	1786
524	1968	1780
525	1969	1775
526	1972	1770
527	1974	1765
528	1976	1759
529	1978	1754
530	1982	1750
531	1983	1744
532	1984	1738
533	1987	1733
534	1988	1728
535	1990	1723
536	1991	1717
537	1992	1711
538	1995	1706
539	2000	1703
540	2002	1698
541	2004	1693
542	2005	1688
543	2007	1682
544	2010	1678
545	2013	1674
546	2016	1670
547	2018	1664
548	2020	1660
549	2022	1654
550	2023	1649
551	2029	1646
552	2030	1641
553	2031	1635
554	2033	1630
555	2037	1626
556	2038	1621
557	2040	1616
558	2042	1611
559	2044	1606
560	2045	1600
561	2046	1594
562	2047	1589
563	2048	1583
564	2053	1581
565	2055	1576
566	2058	1572
567	2060	1566
568	2061	1561
569	2062	1555
570	2063	1550
571	2065	1545
572	2066	1540
573	2070	1536
574	2076	1535
575	2079	1530
576	2081	1525
577	2084	1521
578	2085	1516
579	2087	1511
580	2097	1512
581	2099	1508
582	2101	1503
583	2107	1501
584	2110	1496
585	2111	1491
586	2112	1486
587	2115	1481
588	2116	1476
589	2118	1472
590	2124	1470
591	2126	1465
592	2129	1461
593	2130	1456
594	2132	1451
595	2136	1448
596	2137	1443
597	2139	1438
598	2141	1433
599	2142	1428
600	2144	1423
601	2146	1418
602	2147	1413
603	2148	1408
604	2150	1404
605	2154	1400
606	2157	1396
607	2160	1393
608	2162	1388
609	2164	1383
610	2167	1379
611	2168	1374
612	2171	1370
613	2172	1365
614	2176	1362
615	2178	1357
616	2179	1352
617	2181	1348
618	2182	1343
619	2185	1339
620	2189	1336
621	2193	1333
622	2196	1329
623	2199	1325
624	2201	1320
625	2202	1316
626	2211	1315
627	2213	1311
628	2215	1306
629	2216	1302
630	2220	1298
631	2222	1293
632	2224	1289
633	2226	1285
634	2228	1281
635	2229	1276
636	2231	1271
637	2232	1266
638	2235	1262
639	2238	1258
640	2241	1255
641	2245	1252
642	2247	1247
643	2249	1243
644	2251	1238
645	2252	1234
646	2253	1229
647	2256	1225
648	2257	1220
649	2258	1216
650	2263	1213
651	2264	1208
652	2265	1203
653	2266	1199
654	2268	1194
655	2270	1190
656	2271	1185
657	2272	1181
658	2277	1178
659	2280	1174
660	2282	1170
661	2283	1165
662	2285	1161
663	2287	1157
664	2292	1154
665	2294	1150
666	2297	1146
667	2298	1142
668	2300	1138
669	2304	1135
670	2310	1133
671	2313	1129
672	2315	1125
673	2317	1120
674	2319	1116
675	2320	1112
676	2321	1107
677	2324	1103
678	2327	1100
679	2335	1099
680	2338	1095
681	2339	1090
682	2341	1086
683	2342	1082
684	2344	1078
685	2346	1073
686	2347	1069
687	2349	1065
688	2351	1061
689	2353	1057
690	2357	1054
691	2362	1051
692	2364	1047
693	2366	1043
694	2369	1040
695	2371	1035
696	2373	1031
697	2376	1028
698	2380	1024
699	2381	1020
700	2383	1016
701	2385	1012
702	2386	1008
703	2393	1006
704	2394	1001
705	2395	997
706	2397	993
707	2399	989
708	2401	985
709	2402	981
710	2404	977
711	2406	973
712	2410	970
713	2414	967
714	2418	963
715	2419	959
716	2420	955
717	2421	951
718	2423	947
719	2425	943
720	2426	939
721	2427	934
722	2430	931
723	2431	927
724	2433	922
725	2434	918
726	2437	915
727	2440	911
728	2443	908
729	2446	904
730	2450	901
731	2452	897
732	2454	894
733	2457	890
734	2459	886
735	2460	882
736	2462	878
737	2463	874
738	2466	871
739	2467	866
740	2468	862
741	2470	859
742	2472	855
743	2473	851
744	2477	847
745	2478	843
746	2479	839
747	2486	837
748	2488	834
749	2490	830
750	2491	826
751	2493	822
752	2494	818
753	2496	814
754	2497	810
755	2499	806
756	2504	803
757	2506	800
758	2509	796
759	2510	792
760	2512	789
761	2514	785
762	2516	781
763	2519	778
764	2520	774
765	2522	770
766	2524	766
767	2526	763
768	2527	759
769	2529	755
770	2530	751
771	2531	747
772	2533	743
773	2534	740
774	2537	736
775	2539	733
776	2540	729
777	2542	725
778	2543	721
779	2545	718
780	2549	715
781	2551	711
782	2553	707
783	2555	704
784	2557	700
785	2558	696
786	2559	692
787	2561	689
788	2563	685
789	2565	681
790	2566	678
791	2568	674
792	2570	670
793	2571	667
794	2572	663
795	2574	659
796	2580	657
797	2583	653
798	2586	650
799	2588	647
800	2590	643
801	2591	639
802	2593	636
803	2595	632
804	2598	629
805	2599	625
806	2605	623
807	2607	619
808	2617	617
809	2618	614
810	2620	610
811	2622	607
812	2624	603
813	2626	600
814	2627	596
815	2629	593
816	2633	589
817	2640	587
818	2641	583
819	2642	580
820	2644	576
821	2647	573
822	2649	569
823	2651	566
824	2652	562
825	2653	559
826	2655	555
827	2658	552
828	2660	548
829	2661	545
830	2664	541
831	2666	538
832	2668	535
833	2669	531
834	2670	527
835	2673	524
836	2675	521
837	2677	517
838	2679	514
839	2680	510
840	2681	506
841	2682	503
842	2684	500
843	2686	496
844	2687	493
845	2689	489
846	2691	486
847	2692	482
848	2694	479
849	2695	475
850	2697	472
851	2699	468
852	2701	465
853	2703	462
854	2706	459
855	2708	455
856	2709	452
857	2710	448
858	2712	445
859	2713	441
860	2714	438
861	2716	434
862	2717	431
863	2718	427
864	2720	424
865	2722	421
866	2724	417
867	2725	414
868	2726	410
869	2727	407
870	2728	404
871	2730	400
872	2732	397
873	2733	394
874	2735	390
875	2739	387
876	2741	384
877	2743	381
878	2745	377
879	2749	374
880	2750	371
881	2752	368
882	2755	365
883	2757	361
884	2760	358
885	2762	355
886	2763	352
887	2765	348
888	2768	345
889	2769	342
890	2771	339
891	2772	335
892	2773	332
893	2775	329
894	2776	325
895	2777	322
896	2779	319
897	2780	315
898	2782	312
899	2783	309
900	2785	306
901	2786	302
902	2787	299
903	2788	296
904	2792	293
905	2794	289
906	2799	287
907	2801	283
908	2803	280
909	2805	277
910	2808	274
911	2814	271
912	2816	268
913	2819	265
914	2823	262
915	2826	259
916	2830	256
917	2834	253
918	2836	249
919	2837	246
920	2838	243
921	2840	240
922	2842	237
923	2844	233
924	2845	230
925	2848	227
926	2850	224
927	2854	221
928	2856	218
929	2858	215
930	2861	212
931	2863	208
932	2866	205
933	2867	202
934	2869	199
935	2870	196
936	2871	193
937	2873	189
938	2875	186
939	2877	183
940	2880	180
941	2882	177
942	2885	174
943	2886	171
944	2888	168
945	2891	165
946	2892	161
947	2895	158
948	2896	155
949	2898	152
950	2900	149
951	2902	146
952	2903	143
953	2905	140
954	2907	136
955	2909	133
956	2912	130
957	2914	127
958	2916	124
959	2917	121
960	2918	118
961	2920	115
962	2923	112
963	2925	109
964	2926	106
965	2927	103
966	2929	99
967	2933	96
968	2935	93
969	2936	90
970	2938	87
971	2939	84
972	2942	81
973	2944	78
974	2945	75
975	2948	72
976	2953	69
977	2954	66
978	2955	63
979	2957	60
980	2958	57
981	2960	54
982	2962	51
983	2963	48
984	2965	45
985	2966	42
986	2968	39
987	2969	36
988	2971	33
989	2973	30
990	2976	27
991	2977	24
992	2979	21
993	2980	17
994	2985	15
995	2986	11
996	2988	8
997	2990	5
998	2992	2
999	2993	0
