iter	RMSE
0	0.07903308208
1	0.07890845656
2	0.07878013719
3	0.07867069092
4	0.07854282528
5	0.0784147589
6	0.07829775811
7	0.07817667302
8	0.07806163233
9	0.07793024411
10	0.07780766686
11	0.07769571009
12	0.07758628065
13	0.07747859699
14	0.07734644773
15	0.07722021397
16	0.07710083365
17	0.07698939556
18	0.07686802173
19	0.07675950538
20	0.07663965577
21	0.07652273664
22	0.07640060616
23	0.07629683484
24	0.07617766697
25	0.07605922727
26	0.0759567118
27	0.07585275153
28	0.07573591275
29	0.07561502619
30	0.07549705145
31	0.07538916897
32	0.0752802025
33	0.07517533303
34	0.07506842287
35	0.07497107958
36	0.07487742511
37	0.07477616446
38	0.07468301306
39	0.07458175699
40	0.07447961537
41	0.07437747809
42	0.0742775301
43	0.07418250246
44	0.07407086571
45	0.07397060264
46	0.07385634178
47	0.07375467924
48	0.07365910075
49	0.07356777497
50	0.07347682578
51	0.07337277627
52	0.07327718046
53	0.07318294992
54	0.07308849098
55	0.07298614976
56	0.07289408337
57	0.07279880219
58	0.07270121423
59	0.07261051388
60	0.07252412428
61	0.07242667735
62	0.07232806837
63	0.07222953867
64	0.07213128426
65	0.07204227995
66	0.0719428298
67	0.07184439592
68	0.07176612966
69	0.07168612058
70	0.07158284313
71	0.07148831124
72	0.07140636983
73	0.07131827401
74	0.07122726161
75	0.07114342567
76	0.07105499562
77	0.07097760668
78	0.07088943214
79	0.0708183551
80	0.070729034
81	0.07064442084
82	0.07054840283
83	0.07046677226
84	0.07038900421
85	0.07030134349
86	0.07022274225
87	0.07013114425
88	0.07006183327
89	0.06997959704
90	0.06990429509
91	0.06983453943
92	0.06975468903
93	0.06967752732
94	0.06961060432
95	0.0695273681
96	0.06945419713
97	0.06936876388
98	0.06928617997
99	0.06920268792
100	0.0691281114
101	0.06905381065
102	0.06898857756
103	0.06890926381
104	0.06883342529
105	0.06875513327
106	0.06867981785
107	0.06861473515
108	0.06854830396
109	0.0684722644
110	0.06838394132
111	0.06830244798
112	0.06822029917
113	0.0681481573
114	0.06805838535
115	0.06798573927
116	0.06792516514
117	0.06785122222
118	0.0677689662
119	0.06768771877
120	0.06761962328
121	0.06754751835
122	0.06747626453
123	0.0674074254
124	0.06732444369
125	0.06724928579
126	0.06717738965
127	0.06710165763
128	0.06703212151
129	0.06696409443
130	0.06690088747
131	0.06682980162
132	0.06677454791
133	0.06670012373
134	0.06664656319
135	0.06657681551
136	0.06651376472
137	0.06645400334
138	0.06638917917
139	0.06632576243
140	0.06625517573
141	0.06619847144
142	0.06613586427
143	0.06606964217
144	0.0660110868
145	0.06594228421
146	0.06588362167
147	0.06581659542
148	0.06576168406
149	0.06570793905
150	0.06565936894
151	0.06560552721
152	0.06554409085
153	0.06547957673
154	0.06542261753
155	0.06536478389
156	0.06530800986
157	0.06524278588
158	0.06518688472
159	0.06512792915
160	0.06506696397
161	0.06500128809
162	0.06493742636
163	0.06488040899
164	0.06481538268
165	0.06474705778
166	0.06468473966
167	0.06462159119
168	0.06456411043
169	0.06450463207
170	0.06444247645
171	0.06439274074
172	0.06433519031
173	0.06427743518
174	0.06422173123
175	0.06417320584
176	0.06412563023
177	0.06407766063
178	0.06403087781
179	0.06397500869
180	0.06391517003
181	0.06385826502
182	0.06380616486
183	0.06375291027
184	0.06369939874
185	0.0636587658
186	0.06360972728
187	0.06355402295
188	0.06349844073
189	0.0634535793
190	0.06339584436
191	0.06334050306
192	0.06328571567
193	0.06322518528
194	0.06317349408
195	0.06312247869
196	0.06307049402
197	0.0630114679
198	0.06296673137
199	0.06291193495
200	0.06284958076
201	0.06279679502
202	0.06274703407
203	0.06269842147
204	0.0626484089
205	0.0625975521
206	0.06255001688
207	0.06249912976
208	0.06245541293
209	0.06241484685
210	0.06235813723
211	0.0623120324
212	0.06226331705
213	0.06220699569
214	0.06215760791
215	0.0621204908
216	0.06207891077
217	0.0620302645
218	0.06198756951
219	0.06193284591
220	0.0618858891
221	0.06183651805
222	0.06179345754
223	0.06174726187
224	0.0616976662
225	0.06164997364
226	0.06160903884
227	0.06156027081
228	0.06151789419
229	0.06148248117
230	0.0614374591
231	0.06138796458
232	0.06134437697
233	0.06130160007
234	0.06126964178
235	0.06122306172
236	0.06117581184
237	0.06113500041
238	0.06108983227
239	0.06104737844
240	0.06101241385
